FOODID	FOODNAME
619	JOGURTTI, MAUSTAMATON, RASVAA 2,5 %, VL
620	JOGURTTI, MAUSTAMATON, BULGARIAN, RASVAA 3,9%
622	RAHKA, MAITORAHKA, MAUSTAMATON, RASVAA <0,5 %
627	MAITO, YKKÖSMAITO, D-VITAMIINIA 1 UG
628	CREME FRAICHE, RANSKANKERMA, RASVAA 28 %
629	KERMA, VISPIKERMA, RASVAA 38 % ,VL, ISKUKUUMENNETTU
630	SMETANA, RASVAA N. 40 %
631	KERMA, KUOHUKERMA, RASVAA 38 %
632	RUOANVALMISTUSKERMA, RASVAA 19 %, KAHVIKERMA
633	KERMA, KAHVIKERMA, KEVYT, RASVAA 10 %, VL
635	RAEJUUSTO, RASVATON, VL
636	VIILI, KERROSVIILI, MAUSTETTU HILLOLLA, YKKÖSVIILI, RASVAA 1 %, VL
637	JOGURTTI, MAUSTAMATON, RASVATON, VL, D-VIT 0,5 UG
639	JOGURTTI, MAUSTETTU, RASVATON
640	JUUSTO, VALKOHOMEJUUSTO, RASVAA 26-30 %, CAMEMBERT/BRIE
641	JUUSTO, KERMAJUUSTO, RASVAA 30 %, TURUNMAA/OLTERMANNI/KORSHOLM/MASURKKA
642	JUUSTO, EMMENTALJUUSTO, RASVAA 27-30 %, PUNALEIMA
643	JUUSTO, KOVA PIENIKOLOINEN JUUSTO, RASVAA 24-27 %, EDAM
644	JUUSTO, PUOLIKOVA JUUSTO, RASVAA 9-11 %, KEVYT, EDAM/KADETT
645	JUUSTO, KUTUNJUUSTO, VUOHENJUUSTO, RASVAA 30 %, KOVA JUUSTO
647	SULATEJUUSTO, RASVAA 20-24 %, KESKIRASVAINEN
648	SULATEJUUSTO, RASVAA 27-35 %, RUNSASRASVAINEN
649	RAEJUUSTO, RASVAA 2-5 %
650	TUOREJUUSTO, KOTIJUUSTO, RASVAA 9-14 %, MAALAISJUUSTO
653	JUUSTO, SINIHOMEJUUSTO, RASVAA 27-30 %, AURA/DANAZOLE, KESKIARVO
654	JUUSTO, GOUDA, KESKIARVO, RASVAA 28-30 %
655	JUUSTO, PUOLIKOVA JUUSTO, RASVAA 25-35 %, LAPPI/SMÅLAND/BILLINGE/RUSTHOLLI
657	JUUSTO, LEIPÄJUUSTO, RASVAA 17-23 %
658	TUOREJUUSTO, RUNSASRASVAINEN, MUSTAPIPPURIJUUSTO
659	SULATEJUUSTO, RASVAA 9-12 %, VÄHÄRASVAINEN
661	JÄÄTELÖ, PEHMYTJÄÄTELÖ, VOHVELI
663	JÄÄTELÖ, KERMAJÄÄTELÖ
664	JÄÄTELÖ, KERMAJÄÄTELÖPUIKKO, SUKLAAKUORRUTE, KESKIARVO
665	JÄÄTELÖ, KERMAJÄÄTELÖTUUTTI
666	JÄÄTELÖ, MAITOJÄÄTELÖ
667	JÄÄTELÖ, SOKERITON, KEINOTEKOISESTI MAKEUTETTU, RASVAA 6,5 %
668	JÄÄTELÖ, KERMAJÄÄTELÖ, RASVAA YLI 12 %, KESKIARVO
669	(ARC) JÄÄTELÖ, RASVATON
672	MAITOJAUHE, RASVATON
675	MAITO, KEVYTMAITO, VL, D-VITAMIINIA 1 UG
680	VIILI, MAUSTAMATON, RASVAA 1 %, YKKÖSVIILI
682	TUOREJUUSTO, RASVAA 30 %, MAUSTETTU, CREME BONJOUR/CANTADOU
684	MAITO, KEVYTMAITO, D-VITAMIINIA 1 UG
685	JOGURTTI, MAUSTETTU, RASVATON, OSITTAIN KEINOTEKOISESTI MAKEUTETTU, KA.
686	JOGURTTI, MAUSTETTU, RASVAA 7 %
687	JOGURTTI, RUOANVALMISTUSJOGURTTI, RASVAA 6-8 %, VL
689	MAITO, TÄYSMAITO, D-VITAMIINIA 1 UG
690	JUUSTO, SALAATTIJUUSTO, RASVAA 18 %, LEHMÄNMAITO, SUOLALIEMESSÄ
691	JUUSTO, EMMENTALJUUSTO, RASVAA 27-30 %, SUURIKOLOINEN, SINILEIMA/GRUYERE
698	JUUSTO, CHEDDAR, RASVAA 34 %
699	RUOANVALMISTUSKERMA, KASVIRASVAKERMA, RASVAA 15 %
701	SIANRUHO, KESKIRASVAINEN
703	SIANKYLJYS/SELKÄ, PAKSU RASVAKERROS
704	SIANKINKKU, SILAVOINEEN
705	SIANLAPA
706	SIANKYLKI
707	PEKONI, 32 % RASVAA
708	SIAN SELKÄSILAVA
709	SIANPOTKA
711	JAUHELIHA, SIKA-NAUTA
712	JAUHELIHA, NAUDAN, VÄHÄRASVAINEN, RASVAA 7 %
713	SIANLIHA, KESKIARVO
714	NAUDANLIHA, RASVAINEN, KESKIARVO
716	NAUDANRUHO, KESKIRASVAINEN, 13 % RASVAA
718	NAUDANPAISTI
719	NAUDANLAPA/ETUSELKÄ, NAUDAN KEITTOLIHA
720	NAUDANPOTKA
721	NAUDANRINTA
722	NAUDANFILEE, ULKOFILEE
723	NAUDANKYLKI
726	VASIKANPAISTI
730	LAMPAANLIHA, VÄHÄRASVAINEN
731	LAMPAANLIHA, RASVAINEN
732	LAMPAANPAISTI
734	PORONLIHA
735	HIRVENLIHA, HIRVI
736	JÄNIS
737	KANI
741	LIHASÄILYKE, NAUDANLIHA
743	LIHASÄILYKE, SIKA-NAUTA
747	LIHAHYYTELÖ, TEOLLINEN, NAUDANLIHASTA
748	SIANPAISTI, VÄHÄRASVAINEN
750	KANA
751	BROILERI, KOKONAINEN, NAHKOINEEN, RAAKA
752	KALKKUNA NAHKOINEEN
753	METSÄLINTU
754	BROILERISUIKALE
775	KOKOLIHALEIKKELE, SAUNAPALVIKINKKU, RASVAA 6 %
776	KOKOLIHALEIKKELE, NAUDANLIHALEIKKELE, RASVAA 2,8 %
779	KOKOLIHALEIKKELE, KEITTOKINKKU, RASVAA 3 %
786	MAKSA, NAUDAN
787	MAKSA, SIAN
788	MAKSA, BROILERIN
789	MAKSA, PORON
790	MAKSA, KESKIARVO
791	MUNUAINEN
792	SYDÄN, NAUDAN
793	KIELI, NAUDAN
794	VERI
797	KOKOLIHALEIKKELE, POROLEIKKELE, KYLMÄSAVUSTETTU
799	KOKOLIHALEIKKELE, KINKKULEIKKELE, VÄHÄRASVAINEN, RASVAA 3 %
800	SILAKKA, TUORE, ITÄMERI
801	SILAKKA, SUOLATTU, ITÄMERI
802	SILAKKA, SAVUSTETTU, ITÄMERI
803	SILLI, TYNNYRIIN SUOLATTU
804	TURSKA
805	KUHA
806	PUNA-AHVEN, SAVUSTETTU
807	SINIPALLAS, SAVUSTETTU
809	MUIKKU, JÄRVI
810	MUIKKU, JÄRVI, SUOLATTU
811	MUIKKU, JÄRVI, SAVUSTETTU
812	AHVEN
813	HAUKI
814	LAHNA
815	SIIKA
816	SIIKA, SAVUSTETTU
817	LOHI, KOKONAINEN
818	LOHI, TUORESUOLATTU
819	MADE
820	KAMPELA
821	ANKERIAS
822	KIRJOLOHI, KOKONAINEN, KESKIARVO
823	TAIMEN
824	KALA, KESKIARVO, SILAKKA/MUIKKU/AHVEN/HAUKI
825	NAHKIAINEN, SAVUSTETTU
826	SEITI, PAKASTE
828	TONNIKALA, ÖLJYSSÄ, SÄILYKE
829	ANJOVIS
830	LOHI, ÖLJYSSÄ
831	SARDIINI, KESKIARVO, ÖLJYSSÄ JA TOMAATTIKASTIKKEESSA
832	KAVIAARI, SAMMEN MÄTI
833	MÄTITAHNA
834	SINISIMPUKKA, VEDESSÄ, SÄILYKE
835	KATKARAPU
