FOODID	FOODNAME
32016	LASAGNE, ATERIA-AINEKSET, NAUDANLIHA 17 %
32018	LASAGNE, ATERIA-AINEKSET, SIKA-NAUTA
32019	LASAGNE, ATERIA-AINEKSET, NAUDANLIHA 7 %
32020	LASAGNE, ATERIA-AINEKSET, BROILERI
32022	LASAGNE, ATERIA-AINEKSET, NAUDANLIHA 17 %, TUMMA MAKARONI
32023	ATERIA-AINEKSET, PASTA CARBONARA, KYPSENNETTY
32024	ATERIA-AINEKSET, PASTAA SIENIKASTIKKEESSA, KYPSENNETTY
32025	ATERIA-AINEKSET, PASTAA JUUSTOKASTIKKEESSA, KYPSENNETTY
32028	LASAGNE, ATERIA-AINEKSET, SIANLIHA
32031	ATERIA-AINEKSET, PASTAA TOMAATTIKASTIKKEESSA, KYPSENNETTY
32035	ATERIA-AINEKSET, NAUDANLIHA-RIISI-PATA, KYPSENNETTY
32037	MAKARONILAATIKKO, LIHA-MAKARONILAATIKKO, BROILERI, KEVYTMAITO, TUMMA MAKARONI
32038	MAKARONILAATIKKO, LIHA-MAKARONILAATIKKO, SIANLIHA, KEVYTMAITO, TUMMA MAKARONI
32039	ATERIA-AINEKSET, SIANLIHA-RIISI-PATA, KYPSENNETTY
32040	ATERIA-AINEKSET, BROILERI-RIISI-PATA, KYPSENNETTY
32041	ATERIA-AINEKSET, SOIJAROUHE-RIISI-PATA, KYPSENNETTY
32042	ATERIA-AINEKSET, NAUDANLIHA-MAKARONI-PATA, KYPSENNETTY
32043	ATERIA-AINEKSET, SIANLIHA-MAKARONI-PATA, KYPSENNETTY
32045	ATERIA-AINEKSET, BROILERI-MAKARONI-PATA, KYPSENNETTY
32046	ATERIA-AINEKSET, SOIJAROUHE-MAKARONI-PATA, KYPSENNETTY
32047	ITALIANPATA, SIKA-NAUTA
32049	ITALIANPATA, NAUDANLIHA 17 %
32051	JAUHELIHAKASTIKE, RUSKEA KASTIKE, BROILERI, EI RASVAA
32052	OMENAPIIRAKKA, PULLAPOHJA, GLUTEENITON, VEHNÄTÄRKKELYS JA MAITO
32053	OMENAPIIRAKKA, MUROPOHJA, LUONTAISESTI GLUTEENITON
32054	OMENAPIIRAKKA, PULLAPOHJA, LUONTAISESTI GLUTEENITON, MAITO
32055	RAHKAMARJAPIIRAKKA, PULLAPOHJA, GLUTEENITON, VEHNÄTÄRKKELYS JA MAITO
32056	RAHKAMARJAPIIRAKKA, PULLAPOHJA, LUONTAISESTI GLUTEENITON, MAITO
32057	RAHKAMARJAPIIRAKKA, MUROPOHJA, GLUTEENITON, MAITO, VEHNÄTÄRKKELYS
32058	RAHKAMARJAPIIRAKKA, MUROPOHJA, LUONTAISESTI GLUTEENITON
32059	MURO, KUVIOMURO, KELLOGG'S RICE KRISPIES MULTI GRAIN
32060	MURO, RIISI-VEHNÄHIUTALE, KELLOGG'S SPECIAL K CLASSIC
32061	MURO, RIISI-VEHNÄHIUTALE, KELLOGG'S SPECIAL K RED BERRIES, VADELMA-MANSIKKA
32062	JOGURTTI, MAUSTETTU, RASVAA 2 %, D-VIT 0,5 UG
32063	SALAATTI, PUNAJUURISALAATTI, MAJONEESIKASTIKE, SAARIOINEN
32064	MURO, KAAKAONMAKUINEN RIISIMURO, KELLOGG'S COCO POPS
32065	MYSLI, MUROMYSLI, OMENA-KANELI, KESKIARVO, PIRKKA/RAINBOW
32066	SALAATTI, PUNAJUURISALAATTI, MAJONEESIKASTIKE, ATRIA
32067	JOGURTTI, MAUSTETTU, RASVATON, KEINOTEKOISESTI MAKEUTETTU, D-VIT 0,5 UG
32068	MYSLI, MUROMYSLI, JOGURTTI-MANSIKKA, PIRKKA
32069	SALAATTI, PUNAJUURISALAATTI, KEVYT, MAJONEESIKASTIKE, ATRIA
32070	MURO, MONIVILJAMURO, KAAKAO, VIIDAKKOMURO, PIRKKA
32071	MYSLI, KILOMYSLI, PIRKKA
32072	SALAATTI, AURINKOSALAATTI, HK
32073	MYSLI, MUROMYSLI, MARJAINEN, KESKIARVO, PIRKKA/RAINBOW
32075	MURO, RUISMURO, QUAKER FRAS RUIS
32076	SALAATTI, ITALIANSALAATTI, MAJONEESIKASTIKE, SAARIOINEN
32077	MURO, WEETABIX MINIS, SUKLAAMUROKE
32078	MURO, SUKLAAMURO, WEETOS CHOCO, WEETABIX
32079	SALAATTI, ITALIANSALAATTI, MAJONEESIKASTIKE, ATRIA
32080	(ARC)JOGURTTI, MAUSTETTU, VITALINEA, RASVATON, D-VIT 0,75 UG
32081	MURO, TATTARIHIUTALE, TOP FOOD SUN FLAKES
32082	SALAATTI, ITALIANSALAATTI, KEVYT, MAJONEESIKASTIKE, ATRIA
32083	(ARC)MYSLI, NESTLE FITNESS TÄYSJYVÄMYSLI, PÄHKINÄPYÖRRE, VITAMINOITU
32084	JOGURTTI, MAUSTETTU, RASVAA 2 %, LAKTOOSITON, D-VIT 0,5 UG
32085	(ARC) JOGURTTI, MAUSTETTU, A+, RASVAA 2 %, VL, D-VIT 1 UG
32086	KEBAKKO, JAUHELIHAVARRAS, SAARIOINEN
32087	MURO, SUKLAAMURO, NESQUIK DUO, NESTLE, VITAMINOITU
32088	JOGURTTI, MAUSTAMATON, BULGARIAN, RASVAA 3,5 %, D-VIT 1 UG
32092	JAUHELIHAPIHVI, HK
32093	MURO, SUKLAAMURO, NESQUIK KAAKAOMURO, NESTLE, VITAMINOITU
32094	HAMPURILAINEN, TAVALLINEN, HESBURGER
32095	MURO, MONIVILJAMURO, CHEERIOS, NESTLE, MAISSI, KAURA, OHRA, VEHNÄ, RIISI
32096	HAMPURILAINEN, JUUSTOHAMPURILAINEN, HESBURGER
32097	HAMPURILAINEN, KANAHAMPURILAINEN, HESBURGER
32098	MURO, RIISI-VEHNÄHIUTALE, NESTLE FITNESS, AAMIAISHIUTALE
32100	JAUHELIHAPIHVI, ATRIA
32101	MAJONEESI, KURKKUMAJONEESI, HAMPURILAISKASTIKE, HESBURGER
32103	HAMPURILAINEN, TAVALLINEN, MCDONALD'S
32104	HAMPURILAINEN, JUUSTOHAMPURILAINEN, MCDONALD'S
32106	HAMPURILAINEN, KANAHAMPURILAINEN, MCDONALD'S
32107	HAMPURILAINEN, KERROSHAMPURILAINEN, BIG MAC, MCDONALD'S
32108	BROILERINUGGETTI, FRITEERATTU, MCDONALD'S, CHICKEN MCNUGGETS
32109	HAMPURILAINEN, VALMISHAMPURILAINEN, BURGERI, ATRIA, PIHVI JA SÄMPYLÄ
32110	NAKKISÄMPYLÄ, HOT DOG, ATRIA/PIRKKA
32111	HAMPURILAINEN, VALMISHAMPURILAINEN, PIHVIHAMPURILAINEN JA KASTIKE, SAARIOINEN
32112	HAMPURILAINEN, VALMISHAMPURILAINEN, HK BURGERI, PIHVI JA SÄMPYLÄ
32114	LIHAPIIRAKKA, GRAHAMLIHAPIIRAKKA, SAARIOINEN
32115	PIZZA, MEETVURSTIPIZZA, SAARIOINEN/ATRIA
32116	PIZZA, JAUHELIHAPIZZA, SAARIOINEN
32118	PIZZA, JAUHELIHAPIZZA, ATRIA
32119	PIZZA, TONNIKALAPIZZA, SAARIOINEN
32120	PIZZA, KINKKUPIZZA, SAARIOINEN
32121	KASVISPYÖRYKKÄ, SAARIOINEN
32122	PIZZA, TOMAATTI-MOZZARELLAPIZZA, SAARIOINEN
32123	PIZZA, KINKKU-ANANASPIZZA, ATRIA
32125	PERUNALAATIKKO, KINKKU-PERUNASOSELAATIKKO, SAARIOINEN, VALMISATERIA
32126	PASTA, TÄYSJYVÄRIISIJAUHO, LUONTAISESTI GLUTEENITON, KEITETTY, SUOLATON
32127	PASTA, TÄYSJYVÄRIISIJAUHO, LUONTAISESTI GLUTEENITON, KEITETTY, SUOLAA
32128	LIHAPIIRAKKA, JÄRVISUOMEN PORTTI
32129	SPAGETTILIHAVUOKA, SAARIOINEN, VALMISATERIA
32130	KASVISPIHVI, SAARIOINEN
32132	MURO, RIISI-VEHNÄHIUTALE, NESTLE FITNESS & YOGHURT, AAMIAISHIUTALE, VITAMINOITU
32135	MURO, RIISI-VEHNÄHIUTALE, NESTLE FITNESS & FRUITS, AAMIAISHIUTALE, VITAMINOITU
32136	JOGURTTI, MAUSTAMATON, ACTIVIA, RASVAA 3,4 %, PROBIOOTTEJA
32138	PERUNALAATIKKO, BROILERIKIUSAUS, PIRKKA, VALMISATERIA
32140	MURO, TALKKUNAMURO, TALKMURU, TAIVALKOSKEN MYLLY
32142	(ARC)JOGURTTI, MAUSTETTU HILLOLLA, RASVAA 2 %, VL, D-VIT 1 UG
32144	PORKKANAOHUKAINEN, TEOLLINEN
32145	JOGURTTI, MAUSTETTU, A+, RASVATON, VL, D-VIT 1 UG
32146	SIPULI, KEITETTY, SUOLATON
32147	HERNE, KEITETTY, SUOLATON
32148	BROILERIKASTIKE, RUSKEA KASTIKE, RASVAA
32149	KESÄKURPITSA, KEITETTY, SUOLATON
32150	HEDELMÄSOSE, KOTITEKOINEN LASTENRUOKA
32151	BROILERIKASTIKE, RUSKEA KASTIKE, KASVIKSIA, RASVAA
32152	PAKASTEKASVISSEKOITUS, GRILLATUT VIHANNEKSET, SUOLAA JA ÖLJYÄ, (KYPSENTÄMÄTÖN)
32153	BEARNAISEKASTIKEJAUHE, KASTIKEAINEKSET, KNORR
32154	BROILERIKASTIKE, BROILERISTROGANOFF
32155	PAKASTEKASVISSEKOITUS, AURINKOKASVIKSET, PORKKANA-PAPU
32156	PAKASTEKASVISSEKOITUS, HERNE-MAISSI-PORKKANA
32157	PAKASTEKASVISSEKOITUS, KARTANON KASVIKSET, PARSAKAALI-PORKKANA-PAPRIKA
32158	PAKASTEKASVISSEKOITUS, JUURESSEKOITUS
32159	PAKASTEKASVISSEKOITUS, KRUUNUSEKOITUS, PARSAKAALI-PORKKANA-KUKKAKAALI
32160	BROILERIKASTIKE, RUSKEA KASTIKE, HEDELMÄINEN, RASVAA
32161	PAKASTEKASVISSEKOITUS, MAALAISKASVIKSET, PORKKANA-PAPU-PALSTERNAKKA
32162	PAKASTEKASVISSEKOITUS, PARSAKAALI-PORKKANA-VESIKASTANJA
32163	BEARNAISEKASTIKEJAUHE, KASTIKEAINEKSET, CAMPBELL'S/BLÅ BAND
32164	BROILERIA JA RIISIÄ, UUNISSA
32165	PAKASTEKASVISSEKOITUS, PATAJUUREKSET, PORKKANA-LANTTU-SIPULI
32166	PAKASTEKASVISSEKOITUS, PERUNA-KEITTOVIHANNES
32167	PAKASTEKASVISSEKOITUS, POMODORO, TOMAATTI-KASVIS
32168	BEARNAISEKASTIKE, KASTIKEJAUHEESTA, TUOTEKESKIARVO
32169	BROILERI-PASTAVUOKA, KASVIRASVAKERMA
32170	PAKASTEKASVISSEKOITUS, PARSAKAALI-MAISSI-PORKKANA
32171	PAKASTEKASVISSEKOITUS, PORKKANA-PAPU-HERNE-KUKKAKAALI
32172	SOIJAVÄLIPALA, ALPRO, HAPATETTU, MAUSTETTU, RASVAA 2 %, KALSIUMIA, VITAMINOITU
32173	PAKASTEKASVISSEKOITUS, KESKIARVO, KEITETTY, SUOLATON
32174	BROILERIPATA, HEDELMÄINEN
32175	HOLLANDAISEKASTIKEJAUHE, KASTIKEAINEKSET, CAMPBELL'S/BLÅ BAND
32176	HOLLANDAISEKASTIKE, KASTIKEJAUHEESTA, VESI, CAMPBELL'S/BLÅ BAND
32177	SALAATINKASTIKE, THOUSAND ISLAND, KEVYT, FELIX, RYPSIÖLJYPOHJAINEN, RASVAA 15 %
32178	SALAATINKASTIKE, RANSKALAINEN, SAARIOINEN, RYPSIÖLJYPOHJAINEN, RASVAA 47 %
32179	SALAATINKASTIKE, KARTANON, KEVYT, SAARIOINEN, RYPSIÖLJYPOHJAINEN, RASVAA 23 %
32181	KASVISSOSE, KOTITEKOINEN LASTENRUOKA, SUOLATON
32182	MUSTIKKA, KUIVATTU, MUSTIKKAJAUHE
32186	PAKASTEKASVISSEKOITUS, AMERIKANSEKOITUS, PORKKANA-PARSAKAALI-PAPU-PAPRIKA-MAISSI
32189	VIILI, MAUSTETTU, RASVAA 2 %, D-VITAMIINIA 1 UG
32191	NAKKI, BROILERNAKKI, 15 % RASVAA
32193	SOIJAVÄLIPALA, HAPATETTU, MAUSTETTU, RASVAA 2 %, KALSIUMIA
32194	JUUSTOTIKKU, PANEROITU, MOZZARELLA-CHEDDAR
32195	NAKKI, BROILERNAKKI, KEVYT, RASVAA 5 %
32196	SIPULIRENGAS, PANEROITU, FRITEERATTU, RAVINTOLA
32197	NAKKI, KEVYT KALKKUNANAKKI, ATRIA
32198	KOKOLIHALEIKKELE, OHUT BROILERINFILEE, RASVAA 2,2 %
32199	BROILERIKEITTO
32201	JOGURTTI, TURKKILAINEN/KREIKKALAINEN, RASVAA 10 %
32202	KATKARAPU, KEITETTY, SUOLATON
32203	LOHI, KEITETTY, SUOLATON
32204	KIRJOLOHI, KEITETTY, SUOLATON
32205	LOHI TAI KIRJOLOHI, KEITETTY, SUOLATON
32206	KALA-KASVISPAISTOS, LOHI, SEKAVIHANNEKSET, SULATEJUUSTO, MAITO
32208	MAKARONILAATIKKO, KALA-MAKARONILAATIKKO, LOHI, KEVYTMAITO
32209	MAKARONILAATIKKO, KALA-MAKARONILAATIKKO, SEITI, KEVYTMAITO
32211	PERUNALAATIKKO, KALA-PERUNALAATIKKO, LOHI, KEVYTMAITO
32212	PERUNALAATIKKO, KALA-PERUNALAATIKKO, SEITI, KEVYTMAITO
32214	KALA-PINAATTIVUOKA, LOHI, KEVYTMAITO
32217	KALAPUIKKO, TEOLLINEN, UUNISSA
32218	KALAPUIKKO, LOHI, FINDUS, UUNISSA
32224	KALA-RIISILAATIKKO, LOHI, MUNAMAITO
32225	KALA-RIISILAATIKKO, SEITI, MUNAMAITO
32228	KALAKUKKO, AHVENKUKKO
32229	AHVEN, PAISTETTU, EI KORPPUJAUHOJA
32230	AHVEN, PAISTETTU VOISSA, EI KORPPUJAUHOJA
32231	HAUKI, PAISTETTU VOISSA, EI KORPPUJAUHOJA
32232	KALA, KESKIARVO, PAISTETTU VOISSA, EI KORPPUJAUHOJA
32233	JAUHELIHAKASTIKE, TOMAATTINEN, NAUDANPAISTI, SUURUSTETTU
32234	JAUHELIHAKASTIKE, TOMAATTINEN, NAUDANPAISTI, SUURUSTAMATON
32236	JAUHELIHAKASTIKE, TOMAATTINEN, NAUDANLIHA 17 %, SUURUSTAMATON
32237	KIRJOLOHI, PAISTETTU
32238	KIRJOLOHIFILEE, KASVIRASVAKERMA, EI KORPPUJAUHOJA, UUNISSA
32239	JAUHELIHAKASTIKE, TOMAATTINEN, NAUDANLIHA 17 %, SUURUSTETTU
32240	KIRJOLOHIFILEE, KERMAINEN, EI KORPPUJAUHOJA, UUNISSA
32241	JAUHELIHAKASTIKE, TOMAATTINEN, SIKA-NAUTA, SUURUSTETTU
32242	JAUHELIHAKASTIKE, TOMAATTINEN, SIKA-NAUTA, SUURUSTAMATON
32243	JAUHELIHAKASTIKE, TOMAATTINEN, NAUDANLIHA 7 %, SUURUSTAMATON
32244	JAUHELIHAKASTIKE, TOMAATTINEN, NAUDANLIHA 7 %, SUURUSTETTU
32245	JAUHELIHAKASTIKE, RUSKEA KASTIKE, NAUDANLIHA 7 %, EI RASVAA
32248	SEITI, PAISTETTU, EI KORPPUJAUHOJA
32249	SIIKA, PAISTETTU VOISSA, EI KORPPUJAUHOJA
32250	SIIKA, PAISTETTU, EI KORPPUJAUHOJA
32251	UUNISILAKKA, SILAKKAFILEE, KERMA, EI KORPPUJAUHOJA
32256	SALAATTI, PUNAJUURISALAATTI, MAJONEESIKASTIKE, TEOLLINEN, TUOTEKESKIARVO
32257	KOKOLIHALEIKKELE, OHUEN OHUT BROILERIN FILEELEIKE, RASVAA 2 %
32274	KAKKU, MOKKAPALAT
32278	HILLOPIIRAKKA, PULLAPOHJA, TÄYSMAITO
32279	HILLOPIIRAKKA, PIIMÄTAIKINAPOHJA
32280	MARJAPIIRAKKA, PULLAPOHJA, VESI
32282	HILLOPIIRAKKA, PULLAPOHJA, RASVATON MAITO, FRUKTOOSILLA MAKEUTETTU
32283	HILLOPIIRAKKA, PULLAPOHJA, TÄYSMAITO, FRUKTOOSILLA MAKEUTETTU
32284	HILLOPIIRAKKA, PULLAPOHJA, KEVYTMAITO, FRUKTOOSILLA MAKEUTETTU
32301	MARGARIINI 60 %, FLORA NORMAALISUOLAINEN
32308	MARGARIINI 60 %, FLORA LAKTOOSITON
32316	MARJAPIIRAKKA, PULLAPOHJA, RASVATON MAITO, SOKERITON
32318	MARJAPIIRAKKA, PULLAPOHJA, KEVYTMAITO, SOKERITON
32319	MARJAPIIRAKKA, PULLAPOHJA, TÄYSMAITO, SOKERITON
32320	MARJAPIIRAKKA, PULLAPOHJA, RASVATON MAITO, FRUKTOOSILLA MAKEUTETTU
32321	MARJAPIIRAKKA, PULLAPOHJA, KEVYTMAITO, FRUKTOOSILLA MAKEUTETTU
32322	MARJAPIIRAKKA, PULLAPOHJA, TÄYSMAITO, FRUKTOOSILLA MAKEUTETTU
32323	MARJAPIIRAKKA, PULLAPOHJA, RASVATON MAITO, KEINOTEKOISESTI MAKEUTETTU
32324	MARJAPIIRAKKA, PULLAPOHJA, KEVYTMAITO, KEINOTEKOISESTI MAKEUTETTU
32325	MARJAPIIRAKKA, PULLAPOHJA, TÄYSMAITO, KEINOTEKOISESTI MAKEUTETTU
32326	MARJAPIIRAKKA, PIIMÄTAIKINAPOHJA
32327	MARJAPIIRAKKA, MUROPOHJA, SOKERITON
32328	MARJAPIIRAKKA, MUROPOHJA, FRUKTOOSILLA MAKEUTETTU
32329	MARJAPIIRAKKA, MUROPOHJA, KEINOTEKOISESTI MAKEUTETTU
32330	MARJAPIIRAKKA, PULLAPOHJA, KANANMUNATON
32331	MARJAPIIRAKKA, PULLAPOHJA, VESI, MAIDOTON, KANANMUNATON
32332	RAHKAMARJAPIIRAKKA, MUROPOHJA
32333	OMENAPIIRAKKA, PULLAPOHJA, TÄYSMAITO
32335	RAPARPERIPIIRAKKA, PIIMÄTAIKINAPOHJA
32336	RAPARPERIPIIRAKKA, PULLAPOHJA, RASVATON MAITO
32338	MAKEAN PIIRAKAN PIIMÄTAIKINAPOHJA
32341	MARGARIINI 60 %, FLORA REILUSTI SUOLATTU
32342	MARGARIINI 80 %, LEIVONTAAN JA RUOANLAITTOON
32343	KASVIRASVALEVITE 38 %, BECEL KEVYT
32344	KASVIÖLJYVALMISTE, JUOKSEVA, 82 %, FLORA CULINESSE
32348	KASVIÖLJYVALMISTE, JUOKSEVA, 82 %, BECEL
32350	KASVIRASVALEVITE 38 %, BECEL KEVYT OLIIVI
32354	KASVIÖLJYVALMISTE, JUOKSEVA, 80 %, KEIJU RYPSI
32357	MUNKINPAISTORASVA 100 %, SUNNUNTAI
32360	MARGARIINI 60 %, BENECOL LAKTOOSITON
32366	(ARC) RASVASEOS 60%, BUNGE MAKUISA
32367	MUKSU SOIJAJUOMA 1-3 V, LEIKKI-IKÄISELLE
32372	(ARC) KASVIRASVALEVITE 32%, BENECOL KEVYT OLIIVI
32374	(ARC)MARGARIINI 40 %, BENECOL
32379	JAUHELIHA-MAKARONIMUHENNOS, NAUDAN JAUHELIHA 17%
32380	JAUHELIHA-MAKARONIMUHENNOS, BROILERI
32381	SPAGETTIKASTIKEJAUHE, KASTIKEAINEKSET, KNORR
32382	JAUHELIHAKASTIKE, TOMAATTINEN, NAUDANLIHA 17 %, KASTIKEJAUHEESTA
32383	JAUHELIHAKASTIKE, TOMAATTINEN, SIKA-NAUTA, KASTIKEJAUHEESTA
32384	ATERIAKASTIKE, CURRYKASTIKE, UNCLE BEN'S, VALMISKASTIKE
32385	RAEJUUSTO, RASVAA 1,5 %
32386	ATERIAKASTIKE, TIKKA MASALA, UNCLE BEN'S, VALMISKASTIKE
32397	ATERIASALAATTI, TONNIKALASALAATTI, MAKARONI, VIHERSALAATTI, HERNE-MAISSI-PAPRIKA
32398	TONNIKALA-MAKARONIMUHENNOS, TONNIKALA VEDESSÄ
32401	MANTELIKALA, SEITI, KORPPUJAUHO, RUOKAKERMA 15 %
32403	DIPPIKASTIKEJAUHE, SISÄLTÄÄ MAITOA, KASTIKEAINEKSET
32404	DIPPIKASTIKEJAUHE, MAIDOTON, KASTIKEAINEKSET
32405	KYLMÄ KASTIKE, KERMAVIILIKASTIKE, DIPPIKASTIKE, RASVAA 10-12 %, JAUHEESTA
32407	MEETVURSTI, ULTRAKEVYT, RASVAA 9 %
32409	KOKOLIHALEIKKELE, KORPPUKINKKU, RASVAA 3 %
32416	MARJAJUOMA, PROVIVA, KESKIARVO, PROBIOOTTEJA
32417	HEDELMÄJUOMA, MANGO, PROVIVA, PROBIOOTTEJA
32418	KAURAVALMISTE, HAPATETTU, MAUSTETTU, YOSA, KESKIARVO, PROBIOOTTEJA
32422	(ARC)VÄLIPALAJUOMA,TEHOJUOMA, HEDELMÄ, GEFILUS, C- JA D-VITAMIINIA, PROBIOOTTEJA
32423	(ARC) VÄLIPALAJUOMA, TEHOJUOMA, HEDELMÄINEN, RAINBOW, PROBIOOTTEJA
32424	(ARC) VÄLIPALAJUOMA, TEHOJUOMA, MARJAINEN, RAINBOW, PROBIOOTTEJA
32431	KASVIÖLJYVALMISTE, JUOKSEVA, 80 %, SUNNUNTAI, RYPSIÖLJY
32437	(ARC) KASVIRASVALEVITE 30%, KEIJU DELI OLIIVI
32438	MYSLI, HEDELMÄINEN, GLUTEENITON HEDELMÄMYSLI, PIRKKA
32439	MURO, TÄYSJYVÄMURO, PIRKKA, VITAMINOITU
32440	MURO, MARJAINEN TÄYSJYVÄMURO, PIRKKA, VITAMINOITU
32441	MURO, SUKLAAMURO, SUKLAARENKAAT, TÄYSJYVÄRENKAAT, TOP FOOD
32442	MURO, HUNAJAMURO, VEHNÄRENKAITA HUNAJA, TOP FOOD
32443	MURO, NELJÄNVILJANMURO, SUN MURO, TOP FOOD
32444	MYSLI, HEDELMÄINEN, PIRKKA
32445	MURO, SUKLAAMURO, PIRKKA
32446	MYSLI, MUROMYSLI, RAINBOW
32447	MYSLI, MUROMYSLI, HEDELMÄINEN MUROMYSLI, RAINBOW
32449	VÄLIPALAPATUKKA, JOGURTTINEN MYSLIPATUKKA
32450	VÄLIPALAPATUKKA, TÄYSJYVÄVILJAINEN MYSLIPATUKKA
32451	VÄLIPALAPATUKKA, MARJAISA MYSLIPATUKKA
32452	VÄLIPALAPATUKKA, HEDELMÄINEN MYSLIPATUKKA
32454	LIHAPATA, KARJALANPAISTI, NAUTA, KESKIRASVAINEN SIKA, JUUREKSET
32455	VERIGREIPPI, KUORITTU
32456	LATVA-ARTISOKKA
32459	SEKALEIPÄ, PUHTILEIPÄ, KATRI ANTELL
32460	SEKALEIPÄ, VAALEAVAALEA, KATRI ANTELL
32461	VAALEA LEIPÄ, VEHNÄSÄMPYLÄ, LOUNASSÄMPYLÄ, KATRI ANTELL
32462	SEKALEIPÄ, PUHTISÄMPYLÄ, KATRI ANTELL
32463	SEKALEIPÄ, TUHTI-MONIVILJASÄMPYLÄ, KATRI ANTELL
32464	PÄHKINÄ, PARAPÄHKINÄ
32465	SEKALEIPÄ, TUHTI-PORKKANASÄMPYLÄ, KATRI ANTELL
32466	SEKALEIPÄ, OIVA PERUNALIMPPU, LINKOSUO
32467	SEKALEIPÄ, TAMPEREEN RIEVÄ, LINKOSUO
32468	SEKALEIPÄ, JYVÄLEIPÄ, TUMMEMPI TUHATJYVÄ, LINKOSUO
32469	SEKALEIPÄ, AAMIAISSÄMPYLÄ, PERHELEIPURIT
32470	VAALEA LEIPÄ, EVÄSSÄMPYLÄ, PERHELEIPURIT
32471	SEKALEIPÄ, LIMPUKKA, PÅGEN
32472	SEKALEIPÄ, RUIS-VEHNÄTYYNYT, VAASAN
32473	VÄLIPALAJUOMA, HEVI SHOT, VALIO, ANANAS-PORKKANA-MANGO
32474	VÄLIPALAJUOMA, HEVI SHOT, VALIO, OMENA-PORKKANA-MANSIKKA
32477	VÄLIPALAJUOMA, MEHUKATTI HEDELMÄVÄLIPALA, MANSIKKA
32478	ATERIAKASTIKE, HAPANIMELÄ, SWEET & SOUR, UNCLE BEN'S, VALMISKASTIKE
32479	VÄLIPALAJUOMA, MEHUKATTI HEDELMÄVÄLIPALA, PÄÄRYNÄ
32480	SALAATINKASTIKE, KARTANON, SAARIOINEN, RYPSIÖLJYPOHJAINEN, RASVAA 39 %
32481	VÄLIPALAJUOMA, MEHUKATTI HEDELMÄVÄLIPALA, HEDELMÄMIX
32482	SALAATINKASTIKE, TALON-, FELIX, RYPSIÖLJYPOHJAINEN, RASVAA 20 %
32483	SALAATINKASTIKE, KREIKKALAINEN-, FELIX, RYPSIÖLJYPOHJAINEN, RASVAA 25 %
32485	SALAATINKASTIKE, HUNAJA-SINAPPI, FELIX, RYPSIÖLJYPOHJAINEN, RASVAA 36 %
32486	BROILERIKASTIKE, ATERIAKASTIKKEESTA, HAPANIMELÄKASTIKE, BROILERISUIKALE
32487	BROILERIKASTIKE, ATERIAKASTIKKEESTA, CURRY, BROILERISUIKALE
32488	PERUNALAATIKKO, LIHA-PERUNASOSELAATIKKO, PERUNASOSEJAUHEESTA, NAUTA, VESI
32489	PERUNALAATIKKO, LIHA-PERUNASOSELAATIKKO, PERUNASOSEJAUHEESTA, NAUTA, MAITO
32490	PULLA, KORVAPUUSTI, GIFFLAR KANELIKORVAPUUSTI, PÅGEN
32492	KAKKU, MUFFINI, CREMETÄYTE MUFFINSI SITRUUNA, PÅGEN
32493	KAKKU, MUFFINI, CREMETÄYTE MUFFINSI KAAKAO, PÅGEN
32494	JAUHELIHAKASTIKE, RUSKEA KASTIKE, NAUDANLIHA 17 %, RASVAA
32495	JAUHELIHAKASTIKE, RUSKEA KASTIKE, BROILERI, RASVAA
32497	JAUHELIHAKASTIKE, RUSKEA KASTIKE, NAUDANLIHA 7 %, RASVAA
32498	JAUHELIHAKASTIKE, RUSKEA KASTIKE, NAUDANPAISTI, EI RASVAA
32500	JAUHELIHAKASTIKE, RUSKEA KASTIKE, SIANLIHA, EI RASVAA
32501	JAUHELIHAKASTIKE, RUSKEA KASTIKE, SIKA-NAUTA, EI RASVAA
32502	MAKEINEN, DUMLE, FAZER, MAITOSUKLAALLA KUORRUTETTU TOFFEE
32503	MAKEINEN, MAITOSUKLAARAE, M&M'S/AMERIKAN PASTILLI
32504	JAUHELIHAKASTIKE, MAITOPOHJAINEN, NAUDANPAISTI
32505	JAUHELIHAKASTIKE, MAITOPOHJAINEN, SIKA-NAUTA
32506	JAUHELIHAKASTIKE, TOMAATTINEN, NAUDANLIHA 7 %, KASTIKEJAUHEESTA
32507	JAUHELIHAKASTIKE, TOMAATTINEN, NAUDANPAISTI, KASTIKEJAUHEESTA
32508	KASVISKASTIKE, PUNAJUURIKASTIKE, KEVYTMAITO
32509	SUKLAA, SUKLAAPATUKKA, TWIX, KEKSIÄ JA TOFFEETA
32510	KASVISKASTIKE, PUNAJUURIKASTIKE
32511	PULLA, DALLASPULLA, FAZER
32513	BROILERINUGGETTI, KANANPOJAN JUUSTONUGGETIT, HK/KARINIEMI, LAKTOOSITON
32515	PULLA, BIG TEXASPULLA, FAZER
32517	MUNKKI, BERLIININMUNKKI, FAZER
32518	KÄÄRETORTTU, NAPAKYMPPI, FAZER OULULAINEN
32523	PERUNALAATIKKO, BROILERIKIUSAUS, HK, VALMISATERIA
32525	KIISSELI, VADELMAKEITTO
32526	KIISSELI, MANSIKKAKEITTO
32528	VANUKAS, KERMAVANUKAS, RASVAINEN, TEOLLINEN
32529	VANUKAS, SUKLAAVANUKAS, TEOLLINEN
32530	KEKSI, KAURA-SUKLAAKEKSI, TEOLLINEN
